Question,Answers
"Are we having the e-library, if so how to borrow a book?","Yes, the college provides e-library facilities, and books can be accessed using student credentials."
Is there a student committee for anti-ragging and how to contact them?,Yes. A dedicated anti-ragging committee exists and can be contacted through the college administration.
Do students and staff maitain a healthy environment,Yes. A respectful and healthy campus environment is maintained.
Will there be a cafeteria inside campus?,Yes. Cafeteria and canteen facilities are available.
Is there a cafeteria inside the campus,Yes. Cafeteria facilities are available.
Is wifi available on campus,Yes. Campus-wide Wi-Fi is available for academic use.
Will there be any refreshments like any college events to enjoy ?,"Yes. College events, fests, and programs are conducted regularly."
Are there are cultural activities in this college ?,Yes. Cultural activities and events are conducted regularly.
Do you guys have any extra curricular activities,Yes. Extracurricular activities are encouraged.
Do the staff support extra curricular activities,Yes. Faculty support student participation in extracurricular activities.
Is hostel accommodation available for first-year students?,Yes. Hostel accommodation is available for first-year students based on availability.
Is there a campus hostel mess and are vegetarian options available?,Yes. Hostel mess is available and vegetarian food options are provided.
Are there any student clubs or extracurricular activities I can join?,Yes. Multiple clubs and extracurricular activities are available.
Are there any volunteering programs like NSS/NCC and how to enroll?,Yes. NSS and NCC programs are available. Enrollment is done during orientation or notified periods.
Are there separate hostels for boys and girls and what are the facilities?,"Yes. Separate hostels are available for boys and girls with accommodation, mess, security, study rooms, and basic amenities."
"Are sports facilities (ground, gym, indoor games) open daily?","Yes. Sports facilities including grounds, gym, and indoor games are open on all working days during allotted hours."
Are sports facilities open every day,Yes. Sports facilities operate on all working days.
Are there any student clubs or technical societies I can join?,Yes. Students can join technical and cultural societies through registrations.
Can students organize a workshop/hackathon? What is the approval process?,Yes. Students must submit a proposal through their department and obtain approvals from the college authorities.
Are there any clubs available?,"Yes. Technical, cultural, and sports clubs are available."
How can I apply for bonafide certificate,You can apply for a bonafide certificate through the student portal or student services office.
How do I apply for a Bonafide certificate?,You can apply for a bonafide certificate through the student portal or student services office.
How do I apply for a bonafide certificate and how long will it take?,You can apply for a bonafide certificate through the student portal or student services office. It is usually issued within 1–3 working days after verification.
I lost my ID card—how do I get a duplicate and what is the fee?,You can apply for a duplicate ID card at the student services office by submitting a request. A nominal fee is charged for reissue.
How do I reset my student portal?,You can reset your student portal password using the “Forgot Password” option or by contacting IT support.
How do I update my address/mobile number in the student records?,You can update your address or mobile number through the student portal or by submitting a request to the student services office.
"Where can I view the semester-wise academic calendar (classes, exams, holidays)?","The semester-wise academic calendar is available in the student portal and academic notices section, showing class schedules, examinations, and holidays."
How can I download the latest syllabus and course outcomes for my branch?,The latest syllabus and course outcomes can be downloaded from the student portal or the respective department academic resources section.
"What is the pattern/weightage for internal tests, assignments, and end exams?","The evaluation pattern consists of internal assessments such as mid exams, assignments, and quizzes along with an end-semester examination, as defined in the academic regulations."
How do I apply for supplementary/backlog exams and what are the dates?,Supplementary or backlog exams can be applied for through the student portal during the notification period announced after regular results.
How can I apply for revaluation/recounting and track its status?,"Revaluation or recounting requests can be submitted through the student portal or examination cell within the notified deadline, and status can be tracked online."
How do I calculate SGPA/CGPA from grades and credits?,"SGPA and CGPA are calculated by multiplying grade points with course credits, summing them, and dividing by the total credits as per academic regulations."
What is the minimum passing mark and grade for each subject?,"Students must score the minimum passing marks specified in the academic regulations, including both internal and external components, to pass a subject."
What is the attendance requirement and how is condonation calculated?,A minimum of 75% attendance is required. Attendance shortage may be condoned as per rules with valid reasons and payment of condonation fee.
Who is my academic mentor and how can I book a meeting?,Each student is assigned an academic mentor or faculty advisor. Meetings can be arranged during mentoring hours or by prior appointment.
How do I request a change of elective after classes start?,Elective change requests are permitted only during the add or drop period and require approval from the academic coordinator.
Where can I access previous year question papers and lab manuals?,Previous year question papers and lab manuals are available through the department resources or library repository.
When will hall tickets be released and how do I download them?,Hall tickets are released before semester examinations and can be downloaded from the student portal after clearing all dues.
How can I apply for project approval and guide allocation for final year?,Final-year project approval and guide allocation are handled by the department project coordinator as per the notified schedule.
Are there any mandatory certifications/NPTEL courses for my batch?,"Mandatory certifications or NPTEL courses are prescribed for certain batches as part of the curriculum, as notified by the department."
What is the procedure for lab re-tests if I miss a lab exam?,Lab re-tests are permitted only with valid justification and approval from the department as per laboratory examination rules.
Highest package in last year,The highest package of the last year depends on company offers and student performance and is announced by the placement cell.
Who is the present principal,The college is headed by the present principal appointed by the management as per institutional norms.
Mission and vision of the college,"The mission and vision of the college focus on quality education, ethical values, research, and overall student development."
"How is attendance policy,grading system, internal marks validation?","Attendance policy requires minimum attendance, grading follows absolute grading system, and internal marks are validated as per academic regulations."
How can I download my marks memo / grade sheet from the portal?,Marks memos and grade sheets can be downloaded from the student portal under the results section after publication.
When will the semester timetable and exam schedule be released?,Semester timetable and examination schedules are released before the commencement of classes and exams through academic notifications.
When will the results be announced and where can I check them?,Results are announced after valuation and can be checked in the student portal results section.
Where exactly fee payment desk is available?,The fee payment desk is located in the accounts section within the college campus.
What are the pros of this college?,"The college offers strong academics, disciplined environment, experienced faculty, placements, and student support services."
Courses,"The college offers undergraduate and postgraduate programs including B.Tech, M.Tech, MBA, and MCA."
What companies visit the campus,"Companies from IT, core engineering, and service sectors visit the campus for placements as coordinated by the placement cell."
Is the grading relative or absolute?,The grading system follows absolute grading as per autonomous academic regulations.
What is my current CGPA ?,Your current CGPA can be viewed in the student portal under academic performance.
What is our syllabus ?,The syllabus is available in the department academic resources section or student portal.
Who got highest package in placement ?,Highest packages are secured by top-performing students depending on company offers.
About teachers info during fest ?,Faculty information during fests is coordinated through departments and academic committees.
How is the placement support and which companies visit the campus?,"Placement support includes training, internships, mock interviews, and campus recruitment drives with visiting companies."
What is the procedure to collect my original academic certificates?,Original academic certificates can be collected after course completion and clearance of all dues as notified by the academic office.
What is the number of campus selections in our college?,The number of campus selections varies each year based on placement performance.
Where can I check the academic calendar of this semester?,The academic calendar of the semester is available in the student portal and academic announcements.
Whom should I approach for the doubts on exam related queries?,Exam-related doubts should be addressed to the subject faculty or examination cell.
As per major project in 4-2 should we actually publish a paper or is it not that mandatory?,Publishing a paper for the 4-2 major project is not mandatory but is encouraged.
What are the subjects thought in CSE,"CSE subjects include Programming, Data Structures, DBMS, Operating Systems, Computer Networks, AI, ML, and electives."
What are the branches,"The college offers branches such as CSE, CSE AI & ML, CSE Data Science, IT, ECE, EEE, Mechanical, Civil, and others."
How do I apply for revaluation or supplementary exams?,Applications for revaluation or supplementary exams must be submitted through the student portal within notified deadlines.
What is the attendance requirement and how are attendance shortages handled?,Attendance shortages may lead to exam detention unless condonation is approved as per regulations.
What are the list of Holidays for this academic year?,The list of holidays is provided in the academic calendar released at the beginning of the academic year.
What is the time table for fifth semester?,The fifth semester timetable is published in the student portal and department notices.
Who are the professors for a course?,Faculty teaching a course are listed in the department timetable and academic communications.
What is the course structure for a BTech Computer science student?,"The B.Tech CSE course structure includes foundation courses, core subjects, electives, labs, internships, and a final-year project."
Can we get a pre information of the electives that we have to choose?,Information about electives is shared by departments before the registration window opens.
Can we provide feedback to professors?,Yes. Students can provide feedback on faculty through the official feedback system at the end of each semester.
Calculate my internal marks,"Internal marks are calculated based on mid exams, assignments, quizzes, and attendance as per the evaluation scheme."
Sem end exams schedule,End semester examination schedules are announced through academic notifications.
What will happen if we skip a single internal exam,Missing an internal exam may reduce internal marks unless a make-up exam is permitted as per policy.
What is the general timeline of a semester?,"A semester includes classes, mid exams, practicals, and end semester examinations as per the academic calendar."
"Does this college have any Recognition, like accredited by NAAC or NBA ?",Yes. The college is NAAC accredited and several programs are NBA accredited.
What's the syllabus for this course?,The syllabus for each course is available in the department academic resources section.
How is the teaching staff,"The teaching staff are qualified, experienced, and actively involved in academics and mentoring."
What are the different types of student unions,"Student unions include class representatives, student councils, and academic committees."
What are the faculty ratings,Faculty ratings are collected through the official student feedback system.
What subjects are offered in this particular course,"Subjects offered are defined by the curriculum and include core, elective, and laboratory courses."
What are the courses offered in the college,"The college offers B.Tech, M.Tech, MBA, and MCA programs."
What is the best department in the college,"All departments follow uniform academic standards, and the best department depends on student interest and career goals."
How can I check my internal marks online,Internal marks can be checked in the student portal under academic performance.
Is there any option to apply for revaluation of answer scripts,Yes. Revaluation and recounting options are available as per examination regulations.
What are the Courses in my current Sem ?,Your current semester courses are listed in the student portal under registered subjects.
Credits of a course,Each course has a fixed credit value defined in the syllabus.
Is all core subjects of required branch are covered in the academic period?,Yes. All core subjects prescribed in the curriculum are covered during the academic period.
Where I can find my attendance?,Attendance details can be viewed in the student portal.
What are the academic regulations of our batch?,"Academic regulations applicable to your batch define grading, attendance, promotion, and evaluation policies."
What are placement results?,Placement results include number of students placed and salary packages and are published annually.
Where can I get the all 4 year btech cse data science syllabus?,The complete four-year B.Tech CSE Data Science syllabus is available through department academic resources.
How can I access my semester timetable and syllabus?,Semester timetable and syllabus can be accessed through the student portal.
What are the academic calendar dates for exams and holidays?,Academic calendar dates for exams and holidays are provided in the academic calendar notification.
"I am currently in final year and I want my first year results, how to get them?",Previous year results can be accessed through the student portal under academic records.
I want to get the previous years exam papers of CSE.,Previous year CSE question papers are available through department or library resources.
How can I register for my courses for the upcoming semester?,Course registration for the upcoming semester is done through the student portal during the notified period.
Who should I contact for academic counseling or mentoring?,Academic counseling and mentoring support is provided by assigned faculty mentors.
Where can I get previous year papers,Previous year papers can be accessed through department or library repositories.
What is the average placement rate for this university,The average placement rate varies yearly and is published by the placement cell.
How does attendance work in this university?,Attendance is recorded daily for each subject and contributes to exam eligibility.
How do we register for classes every semester?,Class registration is completed through the student portal every semester.
How to check semester exam results?,Semester exam results can be checked in the student portal.
What is the attendance requirement?,A minimum of 75% attendance is required.
Where can I check my internal assessment marks online?,Internal assessment marks are available in the student portal.
How do I register for electives for the upcoming semester?,Elective registration is completed through the student portal during the announced registration window.
